WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((490000 6150000,495000 6150000,495000 6155000,490000 6155000,490000 6150000))","      8","     11.7","      2.0","     46.0","     39.4","      8.0","    100.0",1960-10-06,2014-06-26,"       107362",255 255 0,
"POLYGON ((500000 6145000,505000 6145000,505000 6150000,500000 6150000,500000 6145000))","     17","     24.5","      2.2","     83.3","     36.0","      2.4","     53.0",1930-06-16,2001-08-07,"       107385",255 255 0,
"POLYGON ((580000 6150000,585000 6150000,585000 6155000,580000 6155000,580000 6150000))","     14","     14.1","      4.2","     82.0","     23.4","      4.0","     42.0",1973-04-30,2014-05-27,"   2004034522",255 255 0,
"POLYGON ((480000 6125000,485000 6125000,485000 6130000,480000 6130000,480000 6125000))","     26","     16.1","      2.0","     86.2","     35.4","      4.0","     89.5",1943-03-31,2010-08-11,"       107977",255 255 0,
"POLYGON ((505000 6125000,510000 6125000,510000 6130000,505000 6130000,505000 6125000))","      4","     24.3","      2.8","     70.0","     15.3","      8.0","     28.0",1992-08-25,2012-10-25,"   1996011550",255 255 0,
"POLYGON ((510000 6100000,515000 6100000,515000 6105000,510000 6105000,510000 6100000))","    593","     45.8","      2.4","    326.0","      4.7","     -1.1","     14.0",1989-08-01,2021-02-25,"       248813",255 125 0,
"POLYGON ((525000 6080000,530000 6080000,530000 6085000,525000 6085000,525000 6080000))","     22","     13.6","      2.3","     50.0","     17.7","     12.7","     34.5",1948-03-24,2020-05-20,"       109436",255 255 0,
"POLYGON ((515000 6085000,520000 6085000,520000 6090000,515000 6090000,515000 6085000))","     11","     19.0","      2.0","    100.0","     27.3","      9.0","    117.0",1947-05-30,2014-06-03,"       109418",255 255 0,
"POLYGON ((555000 6080000,560000 6080000,560000 6085000,555000 6085000,555000 6080000))","      2","      2.0","      2.0","      2.0","     21.0","     18.5","     23.5",1991-11-26,1991-11-26,"   1996010984",0 255 0,
"POLYGON ((580000 6085000,585000 6085000,585000 6090000,580000 6090000,580000 6085000))","     33","     10.2","      2.0","     58.0","     28.0","     14.5","     58.0",1990-10-22,2020-10-07,"   1997006479",255 255 0,
